                    combo28    att406    att622   guard18     id868     id740    small4     att10
    1 ATTACK + 1.7s  1065353216         0  1065353216         0         0        64         0  1023258624
    1 ATTACK + 1.7s  1065353216         0  1065353216         0         0         0         0  1023258624
    1 ATTACK + 1.7s  1065353216         0  1065353216         0         0       541         1  1023258624
    1 ATTACK + 1.8s  1073091625  3204448256  48365679         0         0       541         4  1050019195
    1 ATTACK + 1.8s  1073091625  3204448256  48365679        18         0         0         4  1050019195
    1 ATTACK + 1.8s  1073091625  3204448256  48365679         0         0         0         4  1050019195
    1 ATTACK + 1.9s  1073091625  3204448256  48365679         0         0         0  1075261952  1050019195
    1 ATTACK + 1.9s  1073091625  3204448256  48365679         1         0         0         1  1050019195
    1 ATTACK + 1.9s  1073091625         0  48365679         0         0       396         1         0
    1 ATTACK + 2.0s  1073091625         0  48365679        32         0       405         1         0
    1 ATTACK + 2.0s  1073091625         0  48365679         0         0         0  1075411968         0
    1 ATTACK + 2.0s  1073091625         0  48365679         0         0         0         1         0
    1 ATTACK + 2.1s  1073091625         0  48365679         4         0         0         1         0
    1 ATTACK + 2.1s  1073091625         0  48365679         0         0         0        10         0
    1 ATTACK + 2.1s  1073091625         0  48365679         1         0         0        10         0
    1 ATTACK + 2.2s  1073091625         0  48365679        10         0         0        10         0
    1 ATTACK + 2.2s  1073091625         0  48365679         1         0         0         1         0
    1 ATTACK + 2.2s  1073091625         0  48365679         1         0         0         0         0
    1 ATTACK + 2.3s         0         1         0         1         0         0         1     27415
    1 ATTACK + 2.3s         0         1         0         0         0         0  1075746048     27415
    1 ATTACK + 2.3s         0         1         0         1         0         0         1     27415
    1 ATTACK + 2.4s         0         1         0         1         0         0        18     27415
    1 ATTACK + 2.4s         0         1         0         0         0         0         1     27415
    1 ATTACK + 2.4s         0         1         0         1         0         0         1     27415
    1 ATTACK + 2.4s         1         1         1         0         0         0  1101645984     27415
    1 ATTACK + 2.5s         1         1         1         3         0        85         1     27415
    1 ATTACK + 2.5s         1         1         1         0         0        85  1105470592     27415
    1 ATTACK + 2.5s         1         1         1         1         0         0  1104941408     27415
    1 ATTACK + 2.6s         1         1         1        26         0         0  1104941408     27415
    1 ATTACK + 2.6s         1         1         1        10         0         0         1  3216991678
    1 ATTACK + 2.6s         1         1         1        32         0         0         1  3216991678
    1 ATTACK + 2.7s         1         1         1         0         0       438  1104838720  3216991678
    1 ATTACK + 2.7s         1         1         1         0         0         0  1076198912  3216991678
    1 ATTACK + 2.7s         1         1         1        32         0       860         2  3216991678
    1 ATTACK + 2.8s         0         1         0      8572         0         0         2     27415
    1 ATTACK + 2.8s         0         1         0         0         0         0         4     27415
    1 ATTACK + 2.8s         0         1         0         0         0         0         1     27415
    1 ATTACK + 2.9s         0         1         0         4         0         0         4     27415
    1 ATTACK + 2.9s         0        39         0         0         0         0         4     27415
    1 ATTACK + 2.9s         0        39         0         0         0         0         4       764
    1 ATTACK + 3.0s         0        39         0        10         0         0         0       764
    1 ATTACK + 3.0s         0        39         0        24         0        71         0       764
    1 ATTACK + 3.0s         0        39         0         0         0        71  1107070720       764
    1 ATTACK + 3.1s         0        39         0         0         0         0  1076616960       764
    1 ATTACK + 3.1s         0        39         0         0         0       897         0  1042511744
    1 ATTACK + 3.1s         0        39         0         0         0         0         0  1042511744
    1 ATTACK + 3.2s         0        39         0         9         0       747         1  1042511744
    1 ATTACK + 3.2s         0        39         0         5         0       747        24  1042511744
    1 ATTACK + 3.2s         0        39         0         1         0         0        24  1042511744
    1 ATTACK + 3.2s         1         1         1         1         0         0         0     27415
    1 ATTACK + 3.3s         1         1         1         1         0         0         2     27415
    1 ATTACK + 3.3s         1         1         1         0         0       897  1104235840     27415
    1 ATTACK + 3.4s         1         1         1         9         0         0        18     27415
    1 ATTACK + 3.4s         1         1         1        18         0         0        18     27415
    1 ATTACK + 3.4s         1         1         1         0         0       448        18  1035612480
    1 ATTACK + 3.5s         1         1         1         0         0       448  1104127712  1035612480
    1 ATTACK + 3.5s         1         1         1         1         0         0  1104127712  1035612480
    1 ATTACK + 3.5s         1         1         1        11         0         0         1  1035612480
    1 ATTACK + 3.5s         1         1         1        12         0       959         1  1035612480
